model,resolution,run,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,precision,recall,f1_score,top_2_accuracy,top_3_accuracy,log_loss,roc_auc_macro,roc_auc_weighted,roc_auc
resnet50,224,1,0.599523241954708,0.6882187352002851,0.5631157409773792,0.6461411117159078,0.6882187352002851,0.599523241954708,0.5947404571646185,0.6090123633621152,0.6461411117159078,0.599523241954708,0.6090123633621152,0.8009535160905841,0.8915375446960667,1.1190549005518238,0.8990813318113025,0.8609954812328386,0.8609954812328386
resnet50,128,1,0.4904306220095694,0.6085096053759929,0.42430902802976717,0.6142783617071915,0.6085096053759929,0.4904306220095694,0.46366001063499684,0.5142410914847201,0.6142783617071915,0.4904306220095694,0.5142410914847201,0.7129186602870813,0.8421052631578947,1.3848257104584685,0.836787153409701,0.817115296723059,0.817115296723059
resnet50,64,1,0.4300822561692127,0.4736233296369501,0.40786661349554243,0.5930216898747369,0.4736233296369501,0.4300822561692127,0.3962161872953761,0.4554391906842899,0.5930216898747369,0.4300822561692127,0.4554391906842899,0.6792009400705052,0.8049353701527615,1.4309038049997138,0.7871342833248981,0.7931226428428662,0.7931226428428662
resnet50,32,1,0.40384615384615385,0.49281328475000163,0.3518593545963077,0.5730685752764327,0.49281328475000163,0.40384615384615385,0.36447814781394605,0.4235095934250333,0.5730685752764327,0.40384615384615385,0.4235095934250333,0.6298076923076923,0.7620192307692307,1.5685741090031156,0.8153095779372849,0.773387713694919,0.773387713694919
mobilenetv2,224,1,0.567342073897497,0.5512377063566481,0.4851882646308563,0.5971377652526557,0.5512377063566481,0.567342073897497,0.5002337345859945,0.5738295682299557,0.5971377652526557,0.567342073897497,0.5738295682299557,0.7735399284862932,0.8784266984505363,1.195301260275513,0.8735659018381543,0.821691038288466,0.821691038288466
mobilenetv2,128,1,0.35526315789473684,0.2551510647122265,0.23199113940960525,0.46312127713676365,0.2551510647122265,0.35526315789473684,0.2215457332309404,0.376817684451437,0.46312127713676365,0.35526315789473684,0.376817684451437,0.5478468899521531,0.7284688995215312,1.9116774585743916,0.7318766060801194,0.686185062255994,0.686185062255994
mobilenetv2,64,1,0.29142185663924797,0.31398475914105306,0.22812488383393312,0.4673205297084293,0.31398475914105306,0.29142185663924797,0.22281085492167035,0.3195316484872851,0.4673205297084293,0.29142185663924797,0.3195316484872851,0.48531139835487663,0.6674500587544065,1.8502737258692408,0.7147988706800967,0.6615113021872814,0.6615113021872814
mobilenetv2,32,1,0.28365384615384615,0.15274970896877207,0.1296575692033622,0.3044723767173506,0.15274970896877207,0.28365384615384615,0.11958937360813629,0.2691861516789109,0.3044723767173506,0.28365384615384615,0.2691861516789109,0.5276442307692307,0.6959134615384616,1.7766409724096401,0.5858179786359234,0.5566733403256797,0.5566733403256797
efficientnetb0,224,1,0.5005959475566151,0.49359216421165164,0.43221020921878944,0.5751886103485727,0.49359216421165164,0.5005959475566151,0.43405413068796356,0.5122403889404001,0.5751886103485727,0.5005959475566151,0.5122403889404001,0.7222884386174017,0.8581644815256257,1.2826385805191802,0.8514855327978079,0.8134365579321179,0.8134365579321179
efficientnetb0,128,1,0.36483253588516745,0.4586203246739604,0.33309612186106713,0.5683363864591676,0.4586203246739604,0.36483253588516745,0.32962223365811394,0.3889916792005261,0.5683363864591676,0.36483253588516745,0.3889916792005261,0.534688995215311,0.6435406698564593,1.7770876885608375,0.7817920238324244,0.7489696824682074,0.7489696824682074
efficientnetb0,64,1,0.4195064629847238,0.48090681296231275,0.3747616083951112,0.5844615859663728,0.48090681296231275,0.4195064629847238,0.38074203056401623,0.43794835373269847,0.5844615859663728,0.4195064629847238,0.43794835373269847,0.6192714453584018,0.754406580493537,1.55087150015286,0.7907564226719384,0.7640804051852114,0.7640804051852114
efficientnetb0,32,1,0.3137019230769231,0.46826375944151355,0.28134843957212374,0.5171836819135655,0.46826375944151355,0.3137019230769231,0.26919050440658976,0.34092605346397714,0.5171836819135655,0.3137019230769231,0.34092605346397714,0.5012019230769231,0.6586538461538461,1.7578590162999779,0.7621454122413438,0.7067022133689724,0.7067022133689724
