model,resolution,run,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,precision,recall,f1_score,top_2_accuracy,top_3_accuracy,log_loss,roc_auc_macro,roc_auc_weighted,roc_auc
efficientnetb0,32,1,0.3137019230769231,0.4682637594415135,0.2813484395721237,0.5171836819135655,0.4682637594415135,0.3137019230769231,0.2691905044065897,0.3409260534639771,0.5171836819135655,0.3137019230769231,0.3409260534639771,0.5012019230769231,0.6586538461538461,1.757859016299978,0.7621454122413438,0.7067022133689724,0.7067022133689724
efficientnetb0,64,1,0.4195064629847238,0.4809068129623127,0.3747616083951112,0.5844615859663728,0.4809068129623127,0.4195064629847238,0.3807420305640162,0.4379483537326984,0.5844615859663728,0.4195064629847238,0.4379483537326984,0.6192714453584018,0.754406580493537,1.55087150015286,0.7907564226719384,0.7640804051852114,0.7640804051852114
efficientnetb0,128,1,0.3648325358851674,0.4586203246739604,0.3330961218610671,0.5683363864591676,0.4586203246739604,0.3648325358851674,0.3296222336581139,0.3889916792005261,0.5683363864591676,0.3648325358851674,0.3889916792005261,0.534688995215311,0.6435406698564593,1.7770876885608375,0.7817920238324244,0.7489696824682074,0.7489696824682074
efficientnetb0,224,1,0.5005959475566151,0.4935921642116516,0.4322102092187894,0.5751886103485727,0.4935921642116516,0.5005959475566151,0.4340541306879635,0.5122403889404001,0.5751886103485727,0.5005959475566151,0.5122403889404001,0.7222884386174017,0.8581644815256257,1.2826385805191802,0.8514855327978079,0.8134365579321179,0.8134365579321179
mobilenetv2,32,1,0.2836538461538461,0.152749708968772,0.1296575692033622,0.3044723767173506,0.152749708968772,0.2836538461538461,0.1195893736081362,0.2691861516789109,0.3044723767173506,0.2836538461538461,0.2691861516789109,0.5276442307692307,0.6959134615384616,1.77664097240964,0.5858179786359234,0.5566733403256797,0.5566733403256797
mobilenetv2,64,1,0.2914218566392479,0.313984759141053,0.2281248838339331,0.4673205297084293,0.313984759141053,0.2914218566392479,0.2228108549216703,0.3195316484872851,0.4673205297084293,0.2914218566392479,0.3195316484872851,0.4853113983548766,0.6674500587544065,1.8502737258692408,0.7147988706800967,0.6615113021872814,0.6615113021872814
mobilenetv2,128,1,0.3552631578947368,0.2551510647122265,0.2319911394096052,0.4631212771367636,0.2551510647122265,0.3552631578947368,0.2215457332309404,0.376817684451437,0.4631212771367636,0.3552631578947368,0.376817684451437,0.5478468899521531,0.7284688995215312,1.911677458574392,0.7318766060801194,0.686185062255994,0.686185062255994
mobilenetv2,224,1,0.567342073897497,0.5512377063566481,0.4851882646308563,0.5971377652526557,0.5512377063566481,0.567342073897497,0.5002337345859945,0.5738295682299557,0.5971377652526557,0.567342073897497,0.5738295682299557,0.7735399284862932,0.8784266984505363,1.195301260275513,0.8735659018381543,0.821691038288466,0.821691038288466
resnet50,32,1,0.4038461538461538,0.4928132847500016,0.3518593545963077,0.5730685752764327,0.4928132847500016,0.4038461538461538,0.364478147813946,0.4235095934250333,0.5730685752764327,0.4038461538461538,0.4235095934250333,0.6298076923076923,0.7620192307692307,1.5685741090031156,0.8153095779372849,0.773387713694919,0.773387713694919
resnet50,64,1,0.4300822561692127,0.4736233296369501,0.4078666134955424,0.5930216898747369,0.4736233296369501,0.4300822561692127,0.3962161872953761,0.4554391906842899,0.5930216898747369,0.4300822561692127,0.4554391906842899,0.6792009400705052,0.8049353701527615,1.4309038049997138,0.7871342833248981,0.7931226428428662,0.7931226428428662
resnet50,128,1,0.4904306220095694,0.6085096053759929,0.4243090280297671,0.6142783617071915,0.6085096053759929,0.4904306220095694,0.4636600106349968,0.5142410914847201,0.6142783617071915,0.4904306220095694,0.5142410914847201,0.7129186602870813,0.8421052631578947,1.3848257104584685,0.836787153409701,0.817115296723059,0.817115296723059
resnet50,224,1,0.599523241954708,0.6882187352002851,0.5631157409773792,0.6461411117159078,0.6882187352002851,0.599523241954708,0.5947404571646185,0.6090123633621152,0.6461411117159078,0.599523241954708,0.6090123633621152,0.8009535160905841,0.8915375446960667,1.1190549005518238,0.8990813318113025,0.8609954812328386,0.8609954812328386
